Team,WinLoss_Record,Win_Percentage,MOV,ATS,Cover_Percentage
Phoenix,48-10-0,0.828,8.1,1.6,0.667
Golden State,42-17-0,0.7120000000000001,6.9,1.4,0.648
Memphis,41-19-0,0.6829999999999999,4.9,3.1,0.618
Chicago,38-21-0,0.644,2.3,0.4,0.603
Miami,38-21-0,0.644,4.5,2.1,0.589
Utah,36-22-0,0.621,6.9,-0.1,0.569
Philadelphia,35-23-0,0.603,1.6,-0.9,0.552
Cleveland,35-23-0,0.603,4.1,4.7,0.552
Milwaukee,36-24-0,0.6,3.4,-2.0,0.552
Dallas,35-24-0,0.593,3.4,1.7,0.527
Denver,33-25-0,0.569,2.1,0.7,0.517
Boston,34-26-0,0.5670000000000001,5.4,2.2,0.517
Toronto,32-25-0,0.561,1.8,1.2,0.5
Minnesota,31-28-0,0.525,1.5,1.4,0.5
Brooklyn,31-28-0,0.525,0.0,-2.6,0.49200000000000005
LA Clippers,30-31-0,0.49200000000000005,-0.8,-0.5,0.483
Charlotte,29-31-0,0.483,-0.9,0.4,0.483
Atlanta,28-30-0,0.483,0.5,-1.3,0.466
Washington,27-31-0,0.466,-2.8,-1.8,0.466
LA Lakers,27-31-0,0.466,-1.5,-2.7,0.456
New York,25-34-0,0.424,-1.5,-2.2,0.45
Portland,25-34-0,0.424,-3.9,-2.2,0.44799999999999995
San Antonio,23-36-0,0.39,0.1,2.3,0.44799999999999995
New Orleans,23-36-0,0.39,-3.2,0.4,0.441
Sacramento,22-38-0,0.36700000000000005,-5.0,-2.4,0.433
Indiana,20-40-0,0.33299999999999996,-2.7,-1.1,0.433
Okla City,18-40-0,0.31,-6.6,0.9,0.424
Houston,15-43-0,0.259,-9.7,-2.3,0.40399999999999997
Detroit,13-45-0,0.22399999999999998,-10.1,-2.0,0.40399999999999997
Orlando,13-47-0,0.217,-8.6,-0.4,0.379
